file number,ID,recorded,inferred
14,HeinR113,1776,1796
15,HeinR114,1776,1796
21,HeinR120,1776,1799
66,HeinR166,1777,1787
67,HeinR167,1777,1788
73,HeinR173,1776,1793
136,HeinR237,1774,1788
137,HeinR238,1774,1788
138,HeinR239,1774,1788
139,HeinR240,1774,1788
157,HeinR258,1774,1787
158,HeinR259,1774,1787
159,HeinR260,1774,1787
160,HeinR261,1774,1787
161,HeinR262,1774,1787
162,HeinR263,1774,1788
163,HeinR264,1774,1788
164,HeinR265,1774,1788
165,HeinR266,1774,1788
195,HeinR296,1781,1788
196,HeinR297,1781,1790
197,HeinR298,1781,1789
198,HeinR299,1781,1798
199,HeinR300,1781,1796
200,HeinR301,1781,1799
201,HeinR302,1781,1798
202,HeinR303,1781,1799
203,HeinR304,1781,1799
204,HeinR305,1781,1799
216,HeinR317,1776,1795
217,HeinR318,1776,1787
220,HeinR321,1776,1796
222,HeinR323,1776,1798
243,HeinR346,1775,1799
244,HeinR347,1775,1799
274,HeinR84,1776,1792
186,HeinR287,1797,1778
187,HeinR288,1797,1778
188,HeinR289,1797,1778
189,HeinR290,1797,1778
190,HeinR291,1797,1778
191,HeinR292,1797,1778
192,HeinR293,1797,1778
193,HeinR294,1797,1778
194,HeinR295,1797,1778
280,HeinR91,1760,1786
9,HeinR108,1775,1755
10,HeinR109,1776,1763
11,HeinR110,1776,1770
68,HeinR168,1776,1770
79,HeinR181,1791,1870
183,HeinR284,1789,1801
239,HeinR342,1794,1834
0,HeinR1,1796,1796
1,HeinR100,1796,1796
2,HeinR101,1769,1769
3,HeinR102,1776,1776
4,HeinR103,1782,1782
5,HeinR104,1761,1761
6,HeinR105,1784,1784
7,HeinR106,1785,1785
8,HeinR107,1773,1773
12,HeinR111,1776,1776
13,HeinR112,1773,1773
16,HeinR115,1776,1777
17,HeinR116,1776,1777
18,HeinR117,1776,1778
19,HeinR118,1776,1778
20,HeinR119,1776,1778
22,HeinR121,1799,1799
23,HeinR122,1787,1787
24,HeinR123,1787,1787
25,HeinR124,1787,1789
26,HeinR125,1787,1790
27,HeinR126,1787,1790
28,HeinR127,1787,1791
29,HeinR128,1787,1792
30,HeinR129,1787,1793
31,HeinR130,1787,1795
32,HeinR131,1787,1796
33,HeinR132,1787,1797
34,HeinR133,1787,1798
35,HeinR134,1787,1799
36,HeinR135,1787,1799
37,HeinR136,1792,1792
38,HeinR137,1792,1792
