id	score	length
elliots.v1.section1	-0.7216904048233099	1139
elliots.v1.section100	-0.551517398443946	909
elliots.v1.section101	-0.5400730979031049	1709
elliots.v1.section102	-0.6036685352140103	2367
elliots.v1.section103	-0.5760016378511622	1366
elliots.v1.section104	-0.6262611083984375	2000
elliots.v1.section105	-0.5558379572088068	4400
elliots.v1.section106	-0.6133971452781152	3499
elliots.v1.section107	-0.6022528853231912	1783
elliots.v1.section108	-0.5906735235045165	3847
elliots.v1.section109	-0.6267002066718805	5674
elliots.v1.section11	-0.6702030792697319	331
elliots.v1.section110	-0.622904675709195	5367
elliots.v1.section111	-0.5868037772431484	7261
elliots.v1.section112	-0.5912330518276778	5032
elliots.v1.section113	-0.627522735016988	2373
elliots.v1.section114	-0.5975028029307586	5470
elliots.v1.section115	-0.6080964532433285	8319
elliots.v1.section116	-0.5896115004435708	7186
elliots.v1.section117	-0.638183522654885	3434
elliots.v1.section118	-0.6533841499422592	5358
elliots.v1.section119	-0.6029043573375938	2665
elliots.v1.section12	-0.5471723008620903	40396
elliots.v1.section120	-0.6182074900666653	6347
elliots.v1.section121	-0.600244389822876	3331
elliots.v1.section122	-0.6404061129093848	3519
elliots.v1.section123	-0.6162006293402778	5850
elliots.v1.section124	-0.5655197372591277	12325
elliots.v1.section125	-0.584079112590659	1284
elliots.v1.section126	-0.5455172125668449	34782
elliots.v1.section127	-0.6441709509296834	5637
elliots.v1.section128	-0.6429116578228706	5424
elliots.v1.section129	-0.6051381468252056	7782
elliots.v1.section13	-0.5638937680857594	2851
elliots.v1.section130	-0.6152325718934638	6770
elliots.v1.section131	-0.5973499452181248	5298
elliots.v1.section132	-0.6375925857350191	5749
elliots.v1.section133	-0.5939939238038411	3378
elliots.v1.section134	-0.5906191315966872	6490
elliots.v1.section135	-0.6093550069804408	3352
elliots.v1.section136	-0.6347314669657705	4510
elliots.v1.section137	-0.5813829659458145	7968
elliots.v1.section138	-0.580708639629285	17999
elliots.v1.section139	-0.5820888449514744	8037
elliots.v1.section14	-0.5514443607653602	4012
elliots.v1.section140	-0.5760223169730676	8642
elliots.v1.section141	-0.5764635423093534	10130
elliots.v1.section142	-0.6064175479586817	10165
elliots.v1.section143	-0.5844538663020559	9485
elliots.v1.section144	-0.5936730834054137	9827
elliots.v1.section145	-0.6339119882234623	7706
elliots.v1.section146	-0.581261490494055	5656
elliots.v1.section147	-0.6155988155509374	11308
elliots.v1.section148	-0.6288549052745515	9643
elliots.v1.section149	-0.5512121342877241	2399
elliots.v1.section15	-0.5508953992107275	9154
elliots.v1.section150	-0.6218217407764317	5675
elliots.v1.section151	-0.5490997152298087	9410
elliots.v1.section152	-0.6027129851759018	8428
elliots.v1.section153	-0.6114695737977984	12945
elliots.v1.section154	-0.600719750445822	7360
elliots.v1.section155	-0.6403167823965377	7986
elliots.v1.section156	-0.5891280218160377	6625
elliots.v1.section157	-0.567961063622439	241
elliots.v1.section158	-0.5479406448267795	43817
elliots.v1.section159	-0.6339686007967096	10865
elliots.v1.section16	-0.5517116281077348	18100
elliots.v1.section160	-0.6436040985645253	7036
elliots.v1.section161	-0.6130428448536216	19453
elliots.v1.section162	-0.5980072415090284	2326
elliots.v1.section163	-0.5848793306058496	359
elliots.v1.section164	-0.6031869822535022	1160
elliots.v1.section165	-0.6570260184151786	105
elliots.v1.section166	-0.6095260507089121	2700
elliots.v1.section167	-0.6674991200416258	2042
