id	score	length
evans.N00001	-0.6633516159607916	454188
evans.N00003	-0.6239403668626226	24793
evans.N00008	-0.6404713118332902	143147
evans.N00010	-0.594534613150966	383987
evans.N00012	-0.6827748196586936	519709
evans.N00013	-0.5599627025300643	212129
evans.N00015	-0.575255142421222	122401
evans.N00020	-0.5983678128987332	119911
evans.N00021	-0.5896187278882155	126064
evans.N00022	-0.5842514328779875	2887
evans.N00026	-0.5503132416699711	10718
evans.N00027	-0.5928924395597744	214799
evans.N00032	-0.5867018588220377	26618
evans.N00034	-0.6087157641746339	16526
evans.N00035	-0.5812261694609218	161164
evans.N00040	-0.6519283639381679	67473
evans.N00041	-0.5772250216948845	286934
evans.N00042	-0.5851977361270077	79507
evans.N00043	-0.5540208230240369	94979
evans.N00044	-0.576611833536877	29273
evans.N00045	-0.5985375076058297	172565
evans.N00046	-0.5610459724662127	285758
evans.N00049	-0.5633773320172568	14516
evans.N00050	-0.5734233359492616	686818
evans.N00051	-0.5677027470513459	138453
evans.N00054	-0.5989373133789251	311460
evans.N00055	-0.5581341302361938	644767
evans.N00058	-0.5613703284363141	3162
evans.N00059	-0.6619046837432307	44503
evans.N00060	-0.567340203313682	8778
evans.N00061	-0.5807425810003505	131234
evans.N00063	-0.5664948411128692	9954
evans.N00068	-0.5785391624354802	11140
evans.N00069	-0.5394975748287303	724588
evans.N00072	-0.5883029555614305	5201
evans.N00073	-0.6009803324188697	66159
evans.N00074	-0.5552222805228302	194633
evans.N00077	-0.5820303837509808	29311
evans.N00078	-0.5507281308108982	61845
evans.N00079	-0.5676959801991507	4651
evans.N00080	-0.5873353903121917	34466
evans.N00081	-0.5416314240326904	43652
evans.N00082	-0.6073566889635659	117692
evans.N00083	-0.5414923664442335	104301
evans.N00085	-0.562259017955766	78763
evans.N00087	-0.5790520894933964	40584
evans.N00089	-0.5400891959875048	2581
evans.N00090	-0.5606360625261835	21483
evans.N00091	-0.5642646605708538	520904
evans.N00092	-0.5594578279400889	582797
evans.N00093	-0.553350018407095	75039
evans.N00096	-0.6540619282782832	790
evans.N00097	-0.5782547902035524	114909
evans.N00098	-0.5658978849540873	308303
evans.N00099	-0.5384739625352964	34706
evans.N00100	-0.6067045280946284	34366
evans.N00102	-0.5598444248743185	141230
evans.N00104	-0.6286093809957168	192846
evans.N00105	-0.560810670541831	144510
evans.N00106	-0.5605029631882953	85265
evans.N00107	-0.5627248121492293	323395
evans.N00108	-0.5472848463079408	127544
evans.N00109	-0.5586176311188078	119243
