id	score	length
farrands.v1.section35	-0.5629096490331059	14363
farrands.v1.section21	-0.5691784623199687	1636
farrands.v1.section145	-0.8545620080196497	33
farrands.v1.section151	-0.5891395824103163	18621
farrands.v1.section179	-0.5719040358468139	17247
farrands.v1.section178	-0.5715532801377231	4706
farrands.v1.section150	-0.6262657296523461	1689
farrands.v1.section144	-0.5703315941265986	2033
farrands.v1.section20	-0.841899756229285	33
farrands.v1.section34	-0.5842962708536124	4623
farrands.v1.section1	-0.780193093382282	81
farrands.v1.section3	-0.849456787109375	45
farrands.v1.section22	-0.5796472171927359	9251
farrands.v1.section36	-0.5844992929641862	11127
farrands.v1.section152	-0.5561113711174103	13538
farrands.v1.section146	-0.5957724912323221	1370
farrands.v1.section147	-0.5544854945179808	40154
farrands.v1.section153	-0.8937044451313634	31
farrands.v1.section37	-0.6524293445405506	210
farrands.v1.section23	-0.5832071675334003	14446
farrands.v1.section2	-0.8409965515136719	440
farrands.v1.section6	-0.5807652841292451	53356
farrands.v1.section27	-0.8012974858283997	32
farrands.v1.section33	-0.5711877459571475	1344
farrands.v1.section157	-0.5481541687312056	29264
farrands.v1.section143	-0.5560144440570451	27785
farrands.v1.section142	-0.5689493452710931	27509
farrands.v1.section156	-0.5478322882401315	4180
farrands.v1.section32	-0.8460266749064128	30
farrands.v1.section26	-0.557403408123297	9175
farrands.v1.section7	-0.7611131379098603	66
farrands.v1.section5	-0.5755675164399604	11101
farrands.v1.section30	-0.5737811323779728	20856
farrands.v1.section24	-0.5818523700420674	4160
farrands.v1.section18	-0.5765084546496722	20281
farrands.v1.section168	-0.9556366089851626	31
farrands.v1.section140	-0.8405647277832031	30
farrands.v1.section154	-0.5492034664434361	4559
farrands.v1.section155	-0.8251916766166687	32
farrands.v1.section141	-0.562388118334819	1893
farrands.v1.section169	-0.6087627003724093	4825
farrands.v1.section19	-0.5664313763181019	14225
farrands.v1.section25	-0.5771754780142115	2045
farrands.v1.section31	-0.5502298284945817	19194
farrands.v1.section4	-0.721380851698484	1781
farrands.v1.section56	-0.5724257487225587	19815
farrands.v1.section42	-0.5625687759933631	8626
farrands.v1.section95	-0.5574526567113084	25742
farrands.v1.section81	-0.5424495688588108	1357
farrands.v1.section126	-0.5828316026127303	28342
farrands.v1.section132	-0.5904395951976454	3265
farrands.v1.section133	-0.571814501272776	933
farrands.v1.section127	-0.5488067202459807	16607
farrands.v1.section80	-0.8582828185137581	34
farrands.v1.section94	-0.5421165117832848	1029
farrands.v1.section43	-0.8538074493408203	30
farrands.v1.section57	-0.8221753239631653	32
farrands.v1.section69	-0.559283480267993	19049
farrands.v1.section41	-0.5575795992146456	27981
farrands.v1.section55	-0.5714361555976493	27353
farrands.v1.section82	-0.5687889567351083	27700
farrands.v1.section96	-0.5766761926271293	55416
farrands.v1.section131	-0.5499164990872046	10031
farrands.v1.section125	-0.6001330047960908	4662
farrands.v1.section119	-0.5436884292202981	11304
farrands.v1.section118	-0.5989032209404296	16107
farrands.v1.section124	-0.8882962465286255	32
farrands.v1.section130	-0.5699185082702065	6947
farrands.v1.section97	-0.8400858602216167	31
farrands.v1.section83	-0.5711145483356271	9264
farrands.v1.section54	-0.6021771010297449	2097
farrands.v1.section40	-0.590198585344911	6460
farrands.v1.section68	-0.545928980403916	1205
farrands.v1.section44	-0.5449286316593634	1084
farrands.v1.section50	-0.5871677628482681	7304
farrands.v1.section78	-0.6137713486740074	19344
farrands.v1.section87	-0.564147156063873	808
farrands.v1.section93	-0.861496318470348	33
farrands.v1.section108	-0.8053018974535393	33
farrands.v1.section134	-0.8053981896602747	33
farrands.v1.section120	-0.8359520819879347	31
farrands.v1.section121	-0.6016736360522809	4220
farrands.v1.section135	-0.5407420535290791	1713
farrands.v1.section109	-0.5947563110815067	2897
farrands.v1.section92	-0.573568694760101	4950
farrands.v1.section86	-0.5641189522759611	582
farrands.v1.section79	-0.5503342208146845	5865
farrands.v1.section51	-0.5970155701620143	18378
farrands.v1.section45	-0.5891439497769931	5381
farrands.v1.section53	-0.5509204253607374	1124
farrands.v1.section47	-0.5500259186819202	27633
farrands.v1.section90	-0.5674497650079997	1836
farrands.v1.section84	-0.5490335913608563	3270
farrands.v1.section123	-0.5539324485121478	24490
farrands.v1.section137	-0.5507899800593403	16220
farrands.v1.section136	-0.5659910061428254	26942
farrands.v1.section122	-0.5717342652999329	38742
farrands.v1.section85	-0.8070266608035925	33
farrands.v1.section91	-0.5648813529978081	12432
farrands.v1.section46	-0.5743804480596819	26658
farrands.v1.section52	-0.5707991526764443	8395
farrands.v1.section77	-0.5919966693085749	6210
farrands.v1.section63	-0.5440826981155961	1080
farrands.v1.section88	-0.6064508508752894	540
farrands.v1.section107	-0.5589956395667822	22783
farrands.v1.section113	-0.5905024090885489	3611
farrands.v1.section112	-0.8228838520665323	31
farrands.v1.section106	-0.5585292431192661	30520
farrands.v1.section89	-0.8246866656887916	31
farrands.v1.section62	-0.8446580251057942	30
farrands.v1.section76	-0.5423013438349185	1012
farrands.v1.section48	-0.9102774589292465	31
farrands.v1.section60	-0.5585817380400262	19837
farrands.v1.section74	-0.5520616953213539	11471
farrands.v1.section110	-0.5765129612785863	25974
farrands.v1.section104	-0.8506434945499196	34
farrands.v1.section138	-0.59381093351569	2402
farrands.v1.section139	-0.5866515914654521	2151
farrands.v1.section105	-0.5880932059013109	2012
farrands.v1.section111	-0.5649141565115975	17202
farrands.v1.section75	-0.8878088593482971	32
