id	score	length
HeinR1	-0.7461659513931181	32840
HeinR100	-0.6466917404345487	1299233
HeinR101	-0.6562168008327609	3547717
HeinR102	-0.6225070926258206	2788812
HeinR103	-0.615753054512761	2376893
HeinR104	-0.6437106141339703	2416476
HeinR105	-0.6309064900157344	2570795
HeinR106	-0.6301881232966995	2673486
HeinR107	-0.648369048577256	3801738
HeinR108	-0.688042703300913	281922
HeinR109	-0.6676369922753616	243636
HeinR110	-0.6898458136492939	236232
HeinR111	-0.6992664406990776	2344289
HeinR112	-0.6927778455946181	1152
HeinR113	-0.6356083880827464	1586775
HeinR114	-0.6287449734461298	687847
HeinR115	-0.622707515058093	91147
HeinR116	-0.7713345462328767	21900
HeinR117	-0.65872049031477	117705
HeinR118	-0.6660721635127045	37585
HeinR119	-0.6509198452495518	9482
HeinR120	-0.666878362994035	9260907
HeinR121	-0.6751243670538715	3274
HeinR122	-0.6486459545192043	2986975
HeinR123	-0.7474192740956426	206749
HeinR124	-0.8359669481624971	200299
HeinR125	-0.842905744374921	79110
HeinR126	-0.9535892055554125	19409
HeinR127	-0.8202269633175601	208792
HeinR128	-0.8129863055927102	239240
HeinR129	-0.8894761682855518	225052
HeinR130	-0.833944762250484	74895
HeinR131	-0.8571349335520424	431014
HeinR132	-0.8404131955764512	291395
HeinR133	-0.832148042161699	129537
HeinR134	-0.7685361861015043	321819
HeinR135	-0.6647936446425111	211601
HeinR136	-0.8075216317760786	386064
HeinR137	-0.6874772095665911	412728
HeinR138	-0.7060633245098883	255758
HeinR139	-0.8273724307050969	231727
HeinR140	-0.7506275163629188	476382
HeinR141	-0.7909418229890716	865359
HeinR142	-0.8081647560947155	557163
HeinR143	-0.8697247655834291	725418
HeinR144	-0.7850612277854803	190416
HeinR145	-0.7292633143084153	425407
HeinR146	-0.750871880242635	561502
HeinR148	-0.6877558989857951	3263739
HeinR149	-0.6566863387108011	2512025
HeinR150	-0.7259477331265073	3001557
HeinR151	-0.7195571675794323	3130778
HeinR152	-0.7371856211132416	3013919
HeinR153	-0.616523793631154	191950
HeinR154	-0.6154749326894741	186635
HeinR155	-0.6556306929742232	3717411
HeinR156	-0.6937092523004608	301244
HeinR157	-0.7916492542111354	108878
HeinR158	-0.8228895383637957	190453
HeinR159	-0.7430989816419037	312832
HeinR160	-0.745992453814399	200333
HeinR161	-0.6914597236580224	271819
HeinR162	-0.7206473374004209	188669
HeinR163	-0.7707519376074977	519197
HeinR164	-0.6779426869227404	415974
HeinR165	-0.6623652533711226	260744
HeinR166	-0.6982841548382732	443495
HeinR167	-0.6738021479627461	4017295
HeinR168	-0.6433550417863467	6700155
HeinR169	-0.7045245575393388	4485201
HeinR170	-0.7965364063675003	4230043
HeinR171	-0.7191914658807359	8696949
HeinR172	-0.7749852420783693	12073177
HeinR173	-0.7474744788187107	9042391
HeinR174	-0.6220054938226214	965539
HeinR175	-0.6284341831313923	465895
HeinR176	-0.603712504245175	379843
HeinR178	-0.6474283468161096	1421814
HeinR180	-0.6247811757430952	1377818
HeinR181	-0.5964409324632963	1292512
HeinR182	-0.6341408862368534	2717242
HeinR183	-0.6154749326894741	186635
HeinR184	-0.5907440877842638	6290239
HeinR185	-0.5800429325639399	5855695
HeinR186	-0.5825915704227429	5933275
HeinR187	-0.596468038209647	6907889
HeinR188	-0.6005522370268337	7550200
HeinR189	-0.5821421286642801	7618618
HeinR190	-0.5916380452550855	7051539
HeinR191	-0.5822979758429127	14397845
HeinR192	-0.598448929788421	414077
HeinR193	-0.6226708884757136	574951
HeinR194	-0.6121477223026055	22721
HeinR195	-0.6113969117796638	580059
HeinR196	-0.6408791433075679	621635
HeinR197	-0.6251916367323789	581830
HeinR198	-0.6250284855456203	138228
HeinR199	-0.62765197690025	568491
HeinR2	-0.6140352938333137	93097
HeinR200	-0.6892020385640316	26362
HeinR201	-0.6286629920255695	560667
HeinR202	-0.6204347423260094	586885
HeinR203	-0.6369250504329299	264708
HeinR204	-0.6100637986444777	628540
HeinR205	-0.6290582683653366	592856
HeinR206	-0.6302997248292931	583456
HeinR207	-0.6309092281498467	334929
HeinR208	-0.6173600077635546	609257
HeinR209	-0.6221863634874348	610420
HeinR210	-0.6571412562452993	74456
HeinR211	-0.6255650953410041	576562
HeinR212	-0.6145694720881457	616978
HeinR213	-0.6171589075730342	46177
HeinR214	-0.6217287358588224	608595
HeinR215	-0.6120401559974555	616228
HeinR216	-0.6090178419548705	640779
HeinR217	-0.6168627524913101	39989
HeinR218	-0.6089122141630458	609657
HeinR219	-0.6090162037399326	638942
HeinR220	-0.5975797576741397	683790
HeinR221	-0.603601189510493	100162
HeinR222	-0.6086870905756622	661447
HeinR223	-0.6132679618082486	146982
HeinR224	-0.6049363874104995	663823
HeinR225	-0.6150742150590496	443441
HeinR226	-0.6292480945264995	53284
HeinR227	-0.6382142049094675	643084
HeinR228	-0.6278924012504091	632433
HeinR229	-0.6321399258607019	673462
HeinR230	-0.623470880179796	677657
HeinR231	-0.6178210649409202	212932
HeinR232	-0.6179903041957876	629989
HeinR233	-0.6135195766522746	691819
HeinR234	-0.6076550657282723	65573
HeinR235	-0.6339778261351086	668174
HeinR236	-0.6323941003602527	720883
HeinR237	-0.628477968129854	455034
HeinR238	-0.6440586653607333	676400
HeinR239	-0.6151171499516647	731349
HeinR240	-0.605619242398745	184213
HeinR241	-0.6372802058821275	652315
HeinR242	-0.6377381814991843	504421
HeinR243	-0.623259116711643	597721
HeinR244	-0.6248835324241375	459087
HeinR245	-0.6371357091480079	721556
HeinR246	-0.6248101811787921	725692
HeinR247	-0.6298046979004222	315492
HeinR248	-0.6223490360859584	686472
HeinR249	-0.6211581651947093	671668
HeinR250	-0.6310942233108151	78899
HeinR251	-0.6039410347015769	575190
HeinR252	-0.681962860431925	303386
HeinR253	-0.6101749984887868	711349
HeinR254	-0.6259707034645342	707541
HeinR255	-0.6058481011290973	173590
HeinR256	-0.6069837414372465	632682
HeinR257	-0.5917527885574986	629268
HeinR258	-0.591053419244493	339110
HeinR259	-0.6167162908236942	685570
HeinR260	-0.6108324761387302	594478
HeinR261	-0.6047909793123707	660443
HeinR262	-0.6103513668625022	489186
HeinR263	-0.6260834771443853	676814
HeinR264	-0.6114163792627534	652102
HeinR265	-0.6194074969142519	601961
HeinR266	-0.6738604143084805	67142
HeinR267	-0.6114242288334081	602010
HeinR268	-0.6094315296332525	597032
HeinR269	-0.6130723461662371	10864
HeinR270	-0.6072990014948118	619476
HeinR271	-0.6033642595518127	626033
HeinR272	-0.620224753801342	115354
HeinR273	-0.5872516102153993	163371
HeinR274	-0.6143316847584521	575952
HeinR275	-0.6045798782883026	488778
HeinR276	-0.609450657738422	610273
HeinR277	-0.6068846801075052	619505
HeinR278	-0.6198546169699664	490549
HeinR279	-0.6179779742657519	45693
HeinR280	-0.6139642391933413	592667
HeinR281	-0.60670253921628	346731
HeinR282	-0.6355029349695863	169167
HeinR283	-0.6431290733622995	2618
HeinR284	-0.5748680508652301	324249
HeinR285	-0.5722875688246065	783695
HeinR286	-0.5892604992893209	50304
HeinR287	-0.6330200155930745	232475
HeinR288	-0.637045254316927	212825
HeinR289	-0.660095241201238	69470
HeinR290	-0.6305797969956314	458266
HeinR291	-0.6440971500226418	108207
HeinR292	-0.6459097525742191	405657
HeinR293	-0.6259048301307263	400455
HeinR294	-0.6637066107236633	298965
HeinR295	-0.6302415218092955	433760
HeinR296	-0.6557505787886903	463036
HeinR297	-0.667696422430469	930520
HeinR298	-0.6810876410599667	785836
HeinR299	-0.6431458122731017	384809
HeinR300	-0.6491073273190552	842218
HeinR301	-0.6539400638812853	864729
HeinR302	-0.6518679181826355	923227
HeinR303	-0.6942030717449882	610858
HeinR304	-0.6370670223507715	884399
HeinR305	-0.6177043992532673	52261
HeinR306	-0.6248965479204206	811366
HeinR307	-0.6109217829381838	800583
HeinR308	-0.6090000144109754	624524
HeinR309	-0.6390681417455633	652225
HeinR310	-0.6500523565075917	779989
HeinR311	-0.671902999674873	132256
HeinR312	-0.6500006999607347	741113
HeinR313	-0.6332365858454905	274598
HeinR314	-0.6646553199273053	211845
HeinR315	-0.6925235814549695	228967
HeinR316	-0.6382781987860362	465747
HeinR317	-0.6129312706905488	23637
HeinR318	-0.6021595349613746	27702
HeinR319	-0.5851881706711141	64907
HeinR320	-0.5815814928561347	92107
HeinR321	-0.5895715828074682	53721
HeinR322	-0.5859542372339676	56713
HeinR323	-0.5931575810519344	29441
HeinR324	-0.584679377210854	133998
HeinR325	-0.5851430025658189	156870
HeinR326	-0.6219164588743264	784437
HeinR327	-0.6151393919372287	365135
HeinR328	-0.6269023987638893	355308
HeinR329	-0.6331699832528205	806703
HeinR330	-0.6365707658877935	803982
HeinR331	-0.6208056979748087	479609
HeinR334	-0.6024044882271563	9014517
HeinR335	-0.8097121811268344	1177937
HeinR336	-0.6468566379486717	6285722
HeinR337	-0.5932457920447956	10307441
HeinR338	-0.6124442508622138	1178942
HeinR339	-0.5997389564718466	7895235
HeinR340	-0.642871249566602	608563
HeinR341	-0.6082921552252667	221826
HeinR342	-0.6296923117595062	9721301
HeinR343	-0.6380145179904179	3316988
HeinR344	-0.6238573545090929	313267
HeinR345	-0.6370965262370984	414680
HeinR346	-0.7444706330941049	52739
HeinR347	-0.6903546605299526	554
HeinR51	-0.6199528130371545	1149576
HeinR52	-0.6314645472132959	1161982
HeinR53	-0.6309751780370697	1283581
HeinR54	-0.6470170078326793	2529658
HeinR55	-0.6264481824353265	618685
HeinR56	-0.6216208535402522	644375
HeinR57	-0.6326958681019715	552821
HeinR58	-0.729712598964526	956277
HeinR59	-0.671936303840214	839823
HeinR61	-0.6762082501259356	10422
HeinR62	-0.7704178284207731	26361
HeinR63	-0.6773006931792303	96602
HeinR65	-0.6527888824925732	70353
HeinR66	-0.638229022585458	514756
HeinR67	-0.6386479465878301	972138
HeinR68	-0.637782907602269	1133188
HeinR69	-0.6292354808006166	1093707
HeinR70	-0.6305410464392464	1312489
HeinR71	-0.6739578650898358	1641774
HeinR72	-0.6606031794482576	56820
