id	score	length
1-2stat101	-0.5991566158978945	14818
1-2stat103	-0.6186315859432635	2711
1-2stat104	-0.6146224474447904	8830
1-2stat106	-0.5741656323763341	1218
1-2stat106-1	-0.5857536485185078	17263
1-2stat109	-0.5756867407874362	11947
1-2stat112	-0.6310158738518988	2021
1-2stat112-1	-0.6160821432070085	35728
1-2stat119	-0.6327840693177754	13980
1-2stat122	-0.5686182508281633	1632
1-2stat122-1	-0.5843221877475574	3787
1-2stat123	-0.6045910658418657	879
1-2stat123-1	-0.595589307328345	2130
1-2stat124	-0.6020341933337169	11951
1-2stat126	-0.594335031973015	2777
1-2stat126-1	-0.587469327546046	867
1-2stat126-2	-0.603393378770634	7633
1-2stat128	-0.5525049974620054	3109
1-2stat128-1	-0.5558444922818865	2897
1-2stat129	-0.5875922309027778	1737
1-2stat129-1	-0.5688309750314486	944
1-2stat129-2	-0.5535914125755601	1127
1-2stat130	-0.5697389616883285	4828
1-2stat131	-0.5843754386052853	24937
1-2stat135	-0.6088732817857614	5687
1-2stat136	-0.6283915167514228	1186
1-2stat137	-0.6011422231687722	1410
1-2stat137-1	-0.5754946924457796	7677
1-2stat138	-0.5801747427063298	35356
1-2stat145	-0.5875756191292127	202805
1-2stat178	-0.6025418889602558	745
1-2stat178-1	-0.5746675044311841	6541
1-2stat180	-0.6475315464613841	14204
1-2stat182	-0.5729228831332697	7331
1-2stat184	-0.6111148688979522	998
1-2stat184-1	-0.6122060499184119	2662
1-2stat184-2	-0.6051152243931005	2348
1-2stat185	-0.617990895363515	4778
1-2stat186	-0.5667079306499575	5885
1-2stat187	-0.587780488058733	2721
1-2stat187-1	-0.6213937584622448	502
1-2stat187-2	-0.5826434204909975	906
1-2stat187-3	-0.6271370231331169	539
1-2stat187-4	-0.6020982596159675	1031
1-2stat99	-0.6404493303668066	11549
1-3stat188	-0.5840171653304764	1947
1-3stat188-1	-0.5664191447513204	2130
1-3stat189	-0.594769786021653	1309
