id	quality	length
evans.N00001	0.9036577872555752	71437
evans.N00003	0.904623225336731	3276
evans.N00008	0.9335713845964415	20413
evans.N00010	0.9363766751826453	52731
evans.N00012	0.9343694979054095	84862
evans.N00013	0.9612178609165264	30768
evans.N00015	0.9575208913649025	17273
evans.N00020	0.9606822781150621	18018
evans.N00021	0.961651149163357	18971
evans.N00022	0.9837837837837838	432
evans.N00026	0.9829821717990276	1408
evans.N00027	0.9552177821361445	30086
evans.N00032	0.9714193962748876	3972
evans.N00034	0.9648215209518882	2537
evans.N00035	0.9766072648898702	23371
evans.N00040	0.9348636681426241	12083
evans.N00041	0.9807222373065436	40593
evans.N00042	0.9642742539309017	11037
evans.N00043	0.9706417251234086	13443
evans.N00044	0.9834087481146304	3855
evans.N00045	0.9605173255246462	25584
evans.N00046	0.984311152205685	40269
evans.N00049	0.9751062537947783	1872
evans.N00050	0.9786992862392406	96075
evans.N00051	0.9636395990272258	20515
evans.N00054	0.963462397813001	47060
evans.N00055	0.9784356635275026	104624
evans.N00058	0.9805555555555555	402
evans.N00059	0.9434916049828489	7141
evans.N00060	0.9780952380952381	1262
evans.N00061	0.9804522056427967	18310
evans.N00063	0.9867491166077739	1302
evans.N00068	0.9739336492890995	1467
evans.N00069	0.9858649812381701	108978
evans.N00072	0.9648506151142355	669
evans.N00073	0.9601264283977632	10415
evans.N00074	0.982412390077438	26906
evans.N00077	0.9774639423076923	3927
evans.N00078	0.9773964001674341	8261
evans.N00079	0.9849056603773585	617
evans.N00080	0.9696412143514259	5329
evans.N00081	0.9862909367859863	6109
evans.N00082	0.9589255258669699	17069
evans.N00083	0.9873765981550413	14140
evans.N00085	0.9792859373373581	11987
evans.N00087	0.9631059631059631	5356
evans.N00089	0.9966996699669967	336
evans.N00090	0.9824418129848917	2845
evans.N00091	0.9711714313215901	73924
evans.N00092	0.9791577675980616	79115
evans.N00093	0.9808612440191388	10492
evans.N00096	0.9880952380952381	106
evans.N00097	0.9682051282051282	16182
evans.N00098	0.9714534994683317	43264
evans.N00099	0.9825986078886311	5149
evans.N00100	0.96036866359447	5490
evans.N00102	0.9810652981773138	20017
evans.N00104	0.9807749311878043	29299
evans.N00105	0.9896329335181725	19405
evans.N00106	0.9848729326341267	11607
evans.N00107	0.9731443860866118	47646
evans.N00108	0.986765178284613	18487
evans.N00109	0.9801617474251746	17608
evans.N00111	0.9837990138530172	14942
evans.N00113	0.9863470873786407	7745
evans.N00114	0.9819966281310212	116690
evans.N00115	0.9860557768924303	2817
evans.N00116	0.9785611625678697	29495
evans.N00118	0.9828201789389676	54524
evans.N00119	0.9926818768833405	2845
evans.N00121	0.9849137931034483	520
evans.N00122	0.9698795180722891	3091
evans.N00123	0.9790794979079498	272
evans.N00124	0.9843052272130286	17825
evans.N00125	0.9756871358408834	38382
evans.N00126	0.9707170459424646	13872
evans.N00127	0.9727861939715758	30598
evans.N00128	0.9735857461024499	27336
evans.N00129	0.9774049479931833	41093
evans.N00130	0.9757169541808592	11189
evans.N00131	0.9778685733741913	14337
evans.N00132	0.9527893038266482	13850
evans.N00135	0.9976798143851509	965
evans.N00136	0.9873737373737373	449
evans.N00137	0.9798924945251841	17858
evans.N00138	0.9784029971350915	32445
evans.N00139	0.9731840085668392	26948
evans.N00141	0.9794526177365004	29404
evans.N00144	0.9859287054409006	1188
evans.N00145	0.9840579710144928	1546
evans.N00147	0.9817905918057663	752
evans.N00148	0.9667359667359667	533
evans.N00149	0.9627481015546068	36255
evans.N00150	0.9681163171973423	27293
evans.N00151	0.9854077253218884	11942
evans.N00152	0.9752121913580247	12037
evans.N00155	0.9645411284840245	42088
evans.N00156	0.9779005524861878	197
evans.N00157	0.9941860465116279	380
evans.N00158	0.9563492063492064	305
evans.N00159	0.97265625	278
evans.N00160	0.9725	1824
evans.N00162	0.9679023202326997	34657
evans.N00163	0.9827967066068679	17061
evans.N00165	0.951856946354883	833
evans.N00166	0.9542045005921832	5739
evans.N00167	0.9782972417419571	24934
evans.N00168	0.9713882473697716	9229
evans.N00169	0.9773225674247381	164606
evans.N00170	0.9676547842401501	16237
evans.N00171	0.9603180851901425	132747
evans.N00173	0.975609756097561	194
evans.N00174	0.8935185185185185	280
evans.N00175	0.977892756349953	2422
evans.N00176	0.990159901599016	920
evans.N00177	0.981225842076201	2079
evans.N00179	0.9632568414408729	51604
evans.N00180	0.9771136241249326	13091
evans.N00181	0.9673659673659674	3930
evans.N00183	0.9637599093997735	2050
evans.N00184	0.9902777777777778	5834
evans.N00185	0.9450710389872736	73231
evans.N00187	0.9746961523826577	105593
evans.N00190	0.9939393939393939	379
evans.N00191	0.9777777777777777	457
evans.N00192	0.9847161572052402	510
evans.N00193	0.9776536312849162	409
evans.N00194	0.9588926174496645	1526
evans.N00195	0.9810732260579854	17045
evans.N00196	0.980416021243638	10635
evans.N00197	0.985068213556773	10714
evans.N00198	0.9861717612809315	15953
evans.N00199	0.9837359861045318	29514
evans.N00200	0.9805293580772741	12104
evans.N00201	0.9841714075977244	25308
evans.N00203	0.9846547314578005	9757
evans.N00204	0.9835390946502057	7359
evans.N00206	0.9804878048780488	10236
evans.N00207	0.9794889164879004	33102
evans.N00210	0.9813504823151126	1752
evans.N00211	0.983170947741364	2561
