id	quality	length
1-2stat101	0.9286150091519219	1908
1-2stat103	0.9273927392739274	355
1-2stat104	0.9225206611570248	1117
1-2stat106	0.9280575539568345	158
1-2stat106-1	0.9244697361614072	2217
1-2stat109	0.9446522064323112	1567
1-2stat112	0.9148936170212766	285
1-2stat112-1	0.928284854563691	4715
1-2stat119	0.9302172481895984	1849
1-2stat122	0.9297297297297298	212
1-2stat122-1	0.920863309352518	476
1-2stat123	0.9519230769230769	127
1-2stat123-1	0.9372384937238494	276
1-2stat124	0.931185944363104	1652
1-2stat126	0.9369085173501577	363
1-2stat126-1	0.9591836734693877	112
1-2stat126-2	0.9284862932061978	1009
1-2stat128	0.9860724233983287	413
1-2stat128-1	0.9880952380952381	370
1-2stat129	0.93048128342246	221
1-2stat129-1	0.9459459459459459	123
1-2stat129-2	0.9847328244274809	146
1-2stat130	0.9872029250457038	639
1-2stat131	0.9325726141078838	3292
1-2stat135	0.9402756508422665	772
1-2stat136	0.9193548387096774	146
1-2stat137	0.9548387096774194	184
1-2stat137-1	0.9253208868144691	973
1-2stat138	0.9381993896236012	4432
1-2stat145	0.9313402695465122	26067
1-2stat178	0.9411764705882353	103
1-2stat178-1	0.9494535519125683	824
1-2stat180	0.9337620578778135	1997
1-2stat182	0.9347568208778173	955
1-2stat184	0.9272727272727272	126
1-2stat184-1	0.9375	345
1-2stat184-2	0.9341085271317829	300
1-2stat185	0.9262135922330097	574
1-2stat186	0.9308270676691729	752
1-2stat187	0.9403973509933775	335
1-2stat187-1	0.9649122807017544	69
1-2stat187-2	0.9405940594059405	115
1-2stat187-3	0.9833333333333333	71
1-2stat187-4	0.9304347826086956	132
1-2stat99	0.899607843137255	1570
1-3stat188	0.9395348837209302	255
1-3stat188-1	0.951417004048583	281
1-3stat189	0.9448275862068966	170
1-3stat189-1	0.9383116883116883	363
1-3stat190	0.9512195121951219	140
1-3stat190-1	0.9297423887587822	497
1-3stat191	0.941747572815534	120
1-3stat191-1	0.9541284403669725	133
1-3stat191-2	0.9452054794520548	82
1-3stat191-3	0.9418204566781357	3754
1-3stat196	0.9352112676056338	418
1-3stat197	0.9449685534591195	739
1-3stat198	0.9447004608294931	252
1-3stat198-1	0.9482758620689655	67
1-3stat199	0.938560337390971	11855
1-3stat214	0.9405204460966543	303
1-3stat214-1	0.9336099585062241	275
1-3stat215	0.9726651480637813	509
1-3stat215-1	0.9764705882352941	97
1-3stat216	0.9427312775330396	264
1-3stat216-1	0.9319727891156463	166
1-3stat216-2	0.9355670103092784	897
1-3stat218	0.9520958083832335	200
1-3stat218-1	0.9503105590062112	376
1-3stat218-2	0.935374149659864	332
1-3stat219	0.9367909238249594	1393
1-3stat221	0.9488372093023256	976
1-3stat222	0.9456066945606695	1673
1-3stat224	0.9298245614035088	134
1-3stat225	1.0	90
1-3stat225-1	0.9615384615384616	88
1-3stat225-2	0.99	115
1-3stat225-3	0.9428571428571428	193
1stat23	0.9	944
1stat24	0.9475717439293598	2346
1stat27	0.9168591224018475	562
1stat28	0.9519450800915332	1502
1stat29	0.9254890468166166	15924
1stat50	0.9462036091249575	3411
1stat53	0.9353647276084949	1294
1stat54	0.926829268292683	248
1stat55	0.934487197825776	7968
1stat65	0.9244734931009441	1657
1stat67	0.9378640776699029	632
1stat68	0.9455587392550143	812
1stat69	0.9336188436830836	560
1stat70	0.9281045751633987	187
1stat70-1	0.9349397590361446	1487
1stat72	0.9169675090252708	316
1stat72-1	0.9455782312925171	171
1stat73	0.9248188405797102	10227
1stat93	0.9022556390977443	463
1stat94	0.8957345971563981	507
1stat95	0.8816568047337278	193
1stat95-1	0.875	152
1stat95-2	0.9318181818181818	569
1stat96	0.9241261722080136	1361
1stat96-1	0.918918918918919	85
1stat96-2	0.950354609929078	157
1stat97	1.0	48
1stat97-1	0.9515477792732167	855
