term,jsd,count_early,count_modern,neighbours,scaled_jsd
flom,0.9974548343191645,24,73,118,1.0
said,0.7630081667333076,972,3028,54,1.0
calif,1.0,2,3998,3196,1.0
re,0.7380540779132153,149,3851,147,1.0
2006,0.9999161736622811,1,3999,1965,1.0
and,0.5903739384250237,1181,2819,4,1.0
he,0.7097368862509337,907,3093,23,1.0
lhall,0.9997212721995716,3104,11,3147,1.0
jerky,0.9994457963151037,3,930,1168,1.0
wang,0.9995468596037695,2,3998,3701,0.9997298027560119
1982,0.9998323402965293,1,3999,3183,0.9996858309770656
wisconsin,0.9996845540340883,2,3998,3575,0.9994405594405594
cosmos,0.9993653732359887,4,2928,3062,0.999346832135859
users,0.9998323402965293,1,3999,2662,0.9992486851990984
mph,0.9988352351566011,2,3998,3819,0.9992144540455616
consultant,0.9995406070070809,2,3998,3634,0.9991744634012107
consortium,0.998919403241212,3,2738,2943,0.9989806320081549
1993,0.9994756025813725,1,3999,1945,0.9989717223650385
hike,0.9986047462785208,3,3997,3817,0.9989520565889441
pasta,0.9985409594497275,2,3998,3845,0.9986996098829649
development,0.9944989312128227,1,3999,754,0.9986737400530504
pacs,0.9992527440529839,4,577,740,0.9986486486486487
sean,0.996989878902888,2,3998,3866,0.9984480082772892
fella,0.9990526645209943,4,980,1232,0.9983766233766234
coefficient,0.9985528395201104,3,3265,3224,0.9981389578163772
conservative,0.999368200156265,1,3999,2644,0.9981089258698941
network,0.9991406823953692,1,3999,1885,0.9978779840848806
kids,0.9876665980850741,3,3997,936,0.9978632478632479
mike,0.9990363673696636,7,3993,2159,0.9976841130152848
2017,0.9966978238563718,2,3998,3829,0.9976495168451293
norm,0.9962964435148932,4,3996,3799,0.9973677283495657
filters,0.9959115078742884,12,3423,3319,0.9972883398614041
tvs,0.9981342768189732,4,1681,2068,0.9970986460348162
suv,0.9960042885273889,3,2450,2746,0.9970866715222141
scam,0.9962342294393246,5,1313,1638,0.996947496947497
scoring,0.9960879743477296,2,3998,3727,0.9967802522135766
usa,0.9961744063186132,1,3999,3006,0.9966733200266135
saute,0.9970810013352512,3,1678,2062,0.9966052376333656
atlanta,0.9989743157400649,1,3999,1760,0.9965909090909091
intuit,0.9950305149366864,3,454,574,0.9965156794425087
barack,0.9953509843222622,4,3996,3610,0.996398891966759
billion,0.9986125958345697,1,3999,1370,0.9963503649635036
pentagon,0.995315292897385,1,3999,3828,0.9963427377220481
plos,0.9989677916678378,4,637,812,0.9963054187192119
thall,0.9982425029306347,3995,5,2278,0.9960491659350307
rbi,0.9951654184964199,12,2430,2736,0.9959795321637427
unique,0.9975236441830518,2,3998,2467,0.9959464937170652
agreable,0.9935985657623473,3578,4,3383,0.9958616612474135
jeff,0.9955077789068055,3,3997,3108,0.9958172458172458
jake,0.9947727055742084,2,3998,3799,0.995788365359305
feaver,0.9973523386302294,6,181,235,0.9957446808510638
typically,0.996528856895148,1,3999,2581,0.9957380860131732
boost,0.9946908883962338,2,3998,3694,0.9956686518678939
tsp,0.9953723247576467,1,3999,3503,0.9954324864401941
sacramento,0.9938759201027895,4,3996,3711,0.9951495553759094
chet,0.9969901821101188,7,939,1184,0.9949324324324325
traumatic,0.9932763472132448,6,3994,3533,0.9949051797339372
2013,0.9958155707257915,1,3999,2789,0.9946217282179993
decades,0.9960006291883884,4,3996,1938,0.9943240454076367
menu,0.9935899277289153,3,3997,3514,0.9943084803642572
nope,0.9942613339139911,10,1902,2273,0.9942806863176419
fda,0.9923543694735414,9,3991,3822,0.9942438513867086
iowa,0.9945293584273303,2,3998,3467,0.9942313239111624
scary,0.991870467510732,3,3997,3800,0.9942105263157894
competed,0.9932759585633527,3,2011,2382,0.9941225860621327
butte,0.9950350644210835,5,1369,1701,0.9941211052322163
wharff,0.9952901930446523,1076,8,1346,0.9940564635958395
1989,0.9958495044568453,2,3998,2008,0.9940239043824701
heather,0.9916898310494846,3,3997,3766,0.9938927243759957
album,0.9933785631072581,5,3995,3340,0.9937125748502994
flex,0.9929618302701005,4,2464,2756,0.9934687953555879
longtime,0.9914888316638405,3,3997,3725,0.9932885906040269
bonnie,0.990108228515864,5,2943,3069,0.9931573802541545
nike,0.9903210163110241,5,3183,3183,0.9930882814954446
program,0.913882129395767,1,3999,578,0.9930795847750865
wong,0.9902474579791556,6,2273,2598,0.9930715935334873
providers,0.990991456419129,3,3997,3742,0.9930518439337253
overall,0.9942378206161748,2,3998,1940,0.9927835051546392
tbs,0.9886302294979263,44,3956,3761,0.9925551714969423
fbi,0.9903283638882253,16,3984,3490,0.9925501432664756
involvement,0.9904086080532324,1,3999,3018,0.9923790589794566
duma,0.9935626559934061,3,309,392,0.9923469387755102
hiv,0.9883357578538837,8,3992,3304,0.9921307506053268
testers,0.9884904758314098,6,3075,3135,0.9920255183413078
agenda,0.9882913083712722,1,3999,3363,0.991971454058876
turnover,0.9900322721132425,4,3278,3235,0.9919629057187017
cds,0.9880488871605138,8,2892,3050,0.9918032786885246
concept,0.9938236669761475,1,3999,2317,0.991799741044454
andy,0.9882730605240713,2,3998,3522,0.9917660420215787
trainer,0.987510604959107,5,3995,3724,0.9916756176154672
2007,0.9926848782919515,1,3999,2020,0.9915841584158416
1988,0.9940090266803342,1,3999,2243,0.9915292019616585
australia,0.9867562916592258,1,3999,3527,0.9914941876949248
dump,0.985430570969566,5,3995,3677,0.9910252923579005
daunting,0.9861468403219263,3,3024,3104,0.990979381443299
dvd,0.9856014741989343,5,3995,3618,0.9908789386401327
nba,0.9849678015192864,1,3999,3585,0.9907949790794979
nfl,0.9881223346383392,6,3994,3066,0.9905414220482713
broadcast,0.9846935170725042,14,3986,3800,0.9902631578947368
mom,0.9883114932359308,1,3999,1835,0.9901907356948229
merck,0.9926852943306607,5,802,1019,0.9901864573110893
heroin,0.9845821239424446,22,3978,3543,0.9901213660739486
wiring,0.9855945595957766,3,2055,2424,0.9900990099009901
aforesaid,0.9839080841855293,3998,2,1309,0.9900687547746372
closures,0.9945755862482352,3,864,1085,0.9898617511520738
maybe,0.9423533907596906,9,3991,786,0.989821882951654
counterparts,0.9828413709034337,10,3990,3826,0.9898065865133299
photograph,0.9766085100691929,1,3999,1264,0.9897151898734177
team,0.9071266363685635,20,3980,582,0.9896907216494846
logo,0.9847256131416215,12,3382,3291,0.9896687936797326
debut,0.9821821055489457,2,3998,3840,0.9895833333333334
setup,0.9830310285590619,4,3867,3468,0.9893310265282583
2014,0.9862895645429663,1,3999,2972,0.9892328398384926
camper,0.9905255685261486,6,1026,1293,0.9891724671307038
boss,0.9837799853213177,7,3993,3249,0.9889196675900277
ethic,0.9834433309841807,26,3039,3126,0.9888035828534869
sector,0.9844226485181075,2,3998,3023,0.9887528944756864
hank,0.9817189346547119,21,3979,3819,0.9887405079863839
huw,0.9897035130041119,4,139,176,0.9886363636363636
cab,0.9803013396212411,13,3987,3849,0.9885684593400883
groups,0.9337823705957671,4,3996,867,0.9884659746251442
outdoor,0.9803351755972641,1,3999,3606,0.9883527454242929
levels,0.9733900582732135,10,3990,1366,0.9882869692532943
fetal,0.9829047511484587,4,2053,2423,0.9880313660751135
categories,0.9823864090402821,1,3999,3084,0.9880025940337225
makeshift,0.9825638566119934,3,2291,2612,0.9877488514548239
trailer,0.977213432756446,8,3992,3833,0.9877380641794938
tournament,0.9792877894823147,2,3998,3400,0.9876470588235294
chen,0.9812277984219756,5,3995,3711,0.9876044192939908
montana,0.9769521284645847,3,3997,3857,0.9875550946331345
appliances,0.9817620397697934,5,2881,3039,0.98749588680487
iran,0.9849019358885431,3,3997,2785,0.9874326750448833
shit,0.9796923768046469,9,3991,3204,0.987203495630462
imaging,0.977771050171538,4,3996,3773,0.9867479459316194
stadium,0.9761885328679015,11,3989,3244,0.9867447595561035
hamburger,0.9854521705906208,4,1800,2176,0.9866727941176471
beliefs,0.9782359014908375,1,3999,3203,0.986575085857009
dreyer,0.9888866957027951,3,230,296,0.9864864864864865
carly,0.9855032134160676,12,981,1244,0.9863344051446945
trends,0.9780694288152194,16,3984,3488,0.9862385321100917
2002,0.9703918241939852,3,3997,1879,0.9861628525811602
jets,0.9737053308228205,10,3990,3821,0.9861292855273489
georgie,0.9875634227562409,9,855,1080,0.9861111111111112
tv,0.9672398843270469,36,3964,1505,0.986046511627907
heck,0.9795255894767726,3,2690,2914,0.985929993136582
rotating,0.9792191845796641,3,2799,2975,0.9858823529411764
media,0.9678823803644233,4,3996,1396,0.9856733524355301
trapped,0.9735909501327693,3,3997,3866,0.9855147439213657
cia,0.9734811147253136,48,3952,3859,0.9854884685151594
anymore,0.9803048925471439,1,3999,2817,0.9854455094071708
2016,0.9754407302443743,3,3997,3228,0.9854399008674102
liter,0.9783563157735492,24,3088,3145,0.9853736089030206
grid,0.9750069223122748,21,3979,3791,0.9852281719862833
afro,0.981249020442483,19,1906,2289,0.9851463521188292
ongoing,0.9758751631319913,2,3998,3350,0.9850746268656716
clout,0.979498310614062,75,2035,2456,0.9849348534201955
foch,0.9865014078744723,683,46,925,0.9848648648648649
conditioning,0.9743195844526523,7,3993,3751,0.9848040522527326
zona,0.9887835228079327,4,252,328,0.9847560975609756
affiliation,0.9748152757598392,2,3998,3521,0.9846634478841239
melanie,0.9791666081543964,4,2281,2601,0.9846212995001923
wham,0.9892372519307335,6,510,649,0.9845916795069337
agencies,0.9761031651314933,6,3994,2633,0.984428408659324
job,0.9120827972406538,81,3919,695,0.9841726618705036
pants,0.972681631851561,42,3958,3255,0.9840245775729647
snack,0.9762578689555338,5,3916,3475,0.9835971223021582
visa,0.9772682053480142,11,3249,3220,0.9835403726708074
nearby,0.9736869560714214,1,3999,2480,0.9834677419354839
gramm,0.9795621334408586,6,1294,1619,0.9833230389129092
inflation,0.9713368530893165,8,3992,3638,0.9832325453545905
cars,0.9639778045365623,20,3980,1967,0.9832231825114387
monty,0.9782662621329045,23,2123,2488,0.9831189710610932
fiber,0.9712154220947095,7,3993,3042,0.9829059829059829
nightmare,0.9708634319822316,1,3999,3797,0.9828812220173822
dissident,0.9815092810264326,7,1071,1341,0.9828486204325131
recd,0.9720292535061437,3992,8,3730,0.9828418230563003
