term,jsd,count_legal,count_popular,neighbours,scaled_jsd
she,0.7805950599139205,200,3800,90,1.0
oh,0.937502933856127,175,3825,1317,1.0
thine,0.9509290603632835,12,3988,2564,1.0
and,0.5537019476271839,986,3014,4,1.0
paling,1.0,112,6,625,1.0
flare,0.9995160051597213,402,5,2122,1.0
edg,1.0,5,23,122,1.0
fatter,1.0,3,20,89,1.0
pods,1.0,4,81,444,1.0
i,0.6769420625892347,614,3386,24,1.0
stew,0.9971609839657359,7,1127,4052,1.0
him,0.6465057171679802,600,3400,52,1.0
acid,0.9969635001001445,13,1454,4208,0.9997623574144486
dire,0.9381468880402751,3431,569,2261,0.9995577178239717
lemon,0.9951500241381502,3,1055,3985,0.9994981179422836
pang,0.9986192479877611,3,371,1957,0.9994890137966275
weeping,0.9902973146196471,3,1551,4203,0.9992862241256245
paces,0.9872955755503322,8,2013,4051,0.9987657368550975
sighs,0.9875382088901765,3,1408,4189,0.9985676772499403
devils,0.9870113712977578,4,1641,4178,0.9985639061752034
raid,0.9696515985599055,2348,3,3890,0.9984575835475579
jelly,0.997829205717596,5,360,1911,0.9984301412872841
loins,0.997756033223094,3,475,2443,0.9983626688497749
available,0.9366329604032525,3952,48,1765,0.998300283286119
folio,0.9103308442300789,3829,171,1145,0.9982532751091703
flown,0.9982175897469183,11,294,1606,0.99813200498132
tile,0.9266573006915024,3940,60,2460,0.9979674796747967
muse,0.9866186460287801,9,1327,4177,0.9978453435480009
bier,0.9999999999999999,3,167,897,0.9977703455964325
sin,0.907071872930362,46,3954,863,0.9976825028968713
oven,0.9923396836821278,17,729,3402,0.9976484420928865
hall,0.8935769476594942,3460,540,424,0.9976415094339622
lat,0.926364175155835,258,3742,2566,0.9972720187061574
heb,0.9841019883403528,5,966,3896,0.99717659137577
thee,0.8946819771797403,39,3961,660,0.996969696969697
ah,0.924512602476681,380,3620,2292,0.9969458987783595
prying,0.9999999999999999,6,117,650,0.9969230769230769
manna,0.995846185268195,4,367,1939,0.9969056214543579
bile,0.9920542136939086,12,726,3374,0.9967397747480735
coils,0.9811111503064047,962,28,3916,0.9966802860061287
hail,0.9267933126988991,1110,2429,3243,0.9966080789392537
ballad,0.9921812920756848,3,538,2709,0.9963086009597637
trembling,0.9326854020282412,6,2988,3515,0.9963015647226173
spotted,0.9727241544557158,3,1127,4049,0.9962953815756977
angels,0.9213284109762813,2,3998,2652,0.9962292609351433
ih,0.9637865448882235,1523,4,4207,0.9961968148324222
bonny,0.9946260435850885,3,444,2308,0.9961005199306759
finis,0.9680369766659297,6,1131,4049,0.9960484070140776
zion,0.9653139530778768,6,1396,4186,0.9956999522216914
pencil,0.9911512870491096,3,552,2764,0.9956584659913169
abbey,0.971728686264621,3,992,3916,0.9954034729315628
twas,0.9537283108856797,7,2059,4037,0.9952935348030716
