term,jsd,count_legal,count_popular,neighbours,scaled_jsd
and,0.5537019476271839,986,3014,4,1.0
i,0.6769420625892347,614,3386,24,1.0
him,0.6465057171679802,600,3400,52,1.0
aid,0.8019905058132586,2974,1026,774,0.9883720930232558
tender,0.795174942481578,478,3522,1455,0.9821305841924398
fix,0.7808187699292017,2712,1288,1408,0.9765625
he,0.6722419321821854,808,3192,26,0.9615384615384616
laid,0.6599501593023795,2460,1540,395,0.9569620253164557
like,0.6247274534869994,649,3351,253,0.9565217391304348
life,0.611824100144872,221,3779,230,0.9478260869565217
death,0.6356951830019161,406,3594,398,0.9472361809045227
faith,0.665091938950317,397,3603,707,0.9434229137199435
such,0.6003914499154096,1783,2217,52,0.9423076923076923
new,0.6573829200106034,72,3928,616,0.9383116883116883
whom,0.6064001855451665,1034,2966,250,0.936
sign,0.6904947109008338,679,3321,2247,0.9212283044058746
them,0.5701637175539939,755,3245,45,0.9111111111111111
peace,0.6040712868290156,1380,2620,323,0.9102167182662538
it,0.6045071044683628,984,3016,22,0.9090909090909091
judgment,0.621332690678889,1678,2322,655,0.9083969465648855
blood,0.6236014467980371,146,3854,774,0.9082687338501292
best,0.6018378988478944,1201,2799,376,0.9069148936170213
fled,0.7166757489077513,493,3040,3247,0.9051432091161071
water,0.6091892145329434,263,3737,469,0.9040511727078892
forth,0.6190983668144122,1124,2876,844,0.9016587677725119
providence,0.6274959043899041,360,3640,1189,0.8990748528174937
writing,0.6255021642723024,2245,1755,1063,0.8955785512699906
full,0.6017374852082004,1225,2775,500,0.892
party,0.5933206205989501,1610,2390,741,0.8852901484480432
himself,0.5531637586819422,502,3498,263,0.8783269961977186
house,0.5259230785183159,1356,2644,104,0.875
or,0.5948191521731193,1895,2105,24,0.875
work,0.5843815609182335,367,3633,609,0.8719211822660099
comfort,0.6321190469576082,175,3825,2055,0.8710462287104623
exceeding,0.6196281162544547,2478,1522,1603,0.8702432938240798
returned,0.6002595282297291,909,3091,915,0.8677595628415301
an,0.5574662516871323,1218,2782,45,0.8666666666666667
whole,0.5434053261064231,1014,2986,232,0.8620689655172413
good,0.5230237500319682,486,3514,101,0.8613861386138614
writ,0.6057308867429579,2220,1780,1517,0.8576137112722478
fill,0.6243844142271949,950,3050,2194,0.8546034639927074
resolution,0.5796293764407662,2323,1677,831,0.8531889290012034
current,0.6265003217947629,2125,1875,2384,0.8523489932885906
high,0.5645237481733345,398,3602,431,0.851508120649652
resignation,0.6950425776292356,703,1802,3770,0.8485411140583554
there,0.545520302796674,807,3193,79,0.8481012658227848
try,0.6233976365217996,1188,2812,2267,0.846934274371416
no,0.5551627807860611,1254,2746,51,0.8431372549019608
out,0.5131061156924487,1041,2959,95,0.8421052631578947
affecting,0.6965827230966849,197,2108,3923,0.8401733367320928
papers,0.5592958650763186,2820,1180,701,0.8388017118402282
presence,0.5904947402085261,487,3513,1665,0.8372372372372372
they,0.568510261845722,718,3282,43,0.8372093023255814
a,0.5368927686636931,948,3052,6,0.8333333333333334
passed,0.5562192159687323,2237,1763,456,0.8333333333333334
seized,0.5868199985320957,781,3219,1749,0.8330474556889651
cause,0.5427619009419191,1088,2912,370,0.8324324324324325
s,0.5536535679473954,1043,2957,47,0.8297872340425532
things,0.5428274443126031,315,3685,334,0.8293413173652695
use,0.5417715758147656,1332,2668,369,0.8292682926829268
up,0.5059794371048473,613,3387,133,0.8270676691729323
dock,0.7522671887505082,149,718,3703,0.8236564947339995
public,0.5490908055162178,170,3830,622,0.8215434083601286
