,terms,Popular_count,Founders_count,Legal_count,Total_count,Popular,Founders,Legal
0,a,1475123,1149734,435899,3060756,0.36651168427845937,0.338432486236826,0.2950558294847146
1,ability,2273,2232,907,5412,0.30765054072981407,0.3579047954150012,0.3344446638551848
2,abridging,99,74,55,228,0.2941989633367235,0.2605270028393272,0.44527403382394926
3,absence,3451,6750,1384,11585,0.22676627309899225,0.5254753596527209,0.24775836724828687
4,absent,2014,4282,1052,7348,0.2023520200371999,0.5096943518804123,0.28795362808238784
5,absolutely,5154,5668,991,11813,0.35376999035781814,0.46091569532707083,0.1853143143151112
6,accept,3633,10518,1573,15724,0.1782697553546757,0.6114493915567437,0.21028085308858058
7,acceptance,1584,3246,767,5597,0.21066205709468847,0.5114400560502903,0.27789788685502126
8,according,22895,13896,15037,51828,0.28503487944416894,0.20495675908905725,0.5100083614667739
9,accordingly,7930,8836,4575,21341,0.25695069252473535,0.3391933994332919,0.4038559080419727
10,account,29810,39210,15050,84070,0.25421298300798,0.39613906587004105,0.34964795112197894
11,accusation,1218,468,148,1834,0.5598331885217589,0.2548427518042706,0.1853240596739706
12,accused,2005,594,410,3009,0.5240877207953739,0.18394633216022924,0.2919659470443969
13,act,38274,36752,32994,108020,0.22291061832278009,0.2535846503872094,0.5235047312900105
14,acts,11442,8712,5164,25318,0.31932641549900226,0.2880486534562184,0.3926249310447794
15,actual,2663,3820,1504,7987,0.23595590866301916,0.4009942394132676,0.3630498519237131
16,actually,4428,4426,1125,9979,0.3476642135452939,0.4116981038574902,0.24063768259721582
17,adding,1763,1808,594,4165,0.3191979177540594,0.387812000255244,0.2929900819906966
18,adhering,431,254,144,829,0.3833765525027537,0.26766838231406404,0.3489550651831823
19,adjourn,559,914,995,2468,0.1284309104823092,0.24878204265042858,0.6227870468672622
20,adjournment,973,1202,1199,3374,0.17180202058718175,0.2514403513042427,0.5767576281085756
21,admiralty,1790,2216,1935,5941,0.18478559339325631,0.2710191095569859,0.5441952970497578
22,admit,6035,8474,2462,16971,0.26490690787074267,0.44067615217088174,0.29441693995837565
23,admitted,6051,4666,3601,14318,0.282899970861352,0.2584434705025361,0.45865655863611193
24,adoption,1200,1796,891,3887,0.20850974995550972,0.3697145426784949,0.4217757073659954
25,advice,7807,10046,3164,21017,0.275588769045081,0.4201318336072951,0.30427939734762377
26,affect,2714,3092,646,6452,0.3335356149005272,0.4501807668725159,0.2162836182269569
27,affecting,2108,778,167,3053,0.6049348294473587,0.2645042535955474,0.13056091695709396
28,affirm,1609,622,647,2878,0.3916240353383275,0.17935717661887732,0.4290187880427952
29,affirmation,952,218,2460,3630,0.12032195748204531,0.032642206960616225,0.8470358355573384
30,after,88614,60520,33002,182136,0.35414253374634275,0.2865429638627006,0.35931450239095664
31,against,69529,49720,19878,139127,0.3807986610906649,0.32260836902492207,0.29659296988441297
